Job Title,Skills,Interests,Min_Math,Min_Code,Personality,Salary_Range,Trend_Growth
Data Scientist,"Python, SQL, Statistics, Math, Machine Learning, Deep Learning","AI, Data, Research, Patterns, Solving Puzzles",75,70,Introvert,$100k - $160k,High
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Design, API","Web, Design, Creativity, Building, UI/UX",40,60,Any,$70k - $120k,Stable
Product Manager,"Communication, Strategy, Agile, Leadership, Marketing, Analysis","Business, People, Leadership, Planning",50,30,Extrovert,$110k - $180k,High
Cybersecurity Analyst,"Network, Linux, Firewalls, Cryptography, Risk, Security","Security, Hacking, Protection, Investigation",60,65,Introvert,$90k - $150k,Very High
UI/UX Designer,"Figma, Sketch, Prototyping, Color Theory, User Research","Design, Art, Psychology, User Experience",30,20,Any,$80k - $130k,Stable
Software Engineer,"Python, Java, C++, DSA, System Design, Debugging","Coding, Logic, Systems, Building",60,80,Introvert,$95k - $155k,High
AI Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, Math","AI, Robots, Future Tech, Math",85,85,Introvert,$120k - $200k,Very High
Sales Engineer,"Communication, Technical Knowledge, CRM, Negotiation, Presentation","People, Sales, Money, Travel, Tech",40,50,Extrovert,$100k - $180k,Stable
Database Admin,"SQL, Oracle, Linux, Backup, Data Management, Security","Organization, Data, Structure, Reliability",50,60,Introvert,$85k - $140k,Stable
Game Developer,"C++, C#, Unity, Unreal Engine, Physics, Math, 3D","Gaming, Storytelling, Physics, Art",70,85,Any,$80k - $140k,Highv